"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","dataset_id","weight_kg","weight_class"
"2018-P","1171",519.102888528018,"Pumpkings, Les","Gentilly","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Dill's Atlantic",16,233.596299837608,"light"
"2019-P","1065",470.501882159215,"Abrunzo, Jeannine","Canton Des Basques","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,256.681095480102,424.014333342942,11.6685461038824,"Big Max",16,211.725846971647,"light"
"2016-P","259",1201.39828164162,"Vansommeren, Eric","Carman","Manitoba","Canada","Roland Pumpkin Fair","1522 Sproule 2012","1379 Hoelke 2014",378.147949573801,1312.40274647175,0,"Autumn Gold",16,540.62922673873,"medium"
"2013-P","1418",146.099215663087,"Montgomery, Greg","Langley","British Columbia","Canada","BC Giant Pumpkin Weigh-off","Unknown",NA,0,0,0,"Rouge Vif d’Etampes",16,65.7446470483892,"light"
"2016-P","212",1452.0292265218,"Caissie, Emilie","Becancour","Quebec","Canada","Woodbridge Fair GPC Weigh-off","1654 Sproule","1790 Wallace",0,0,0,"Wolf",16,653.413151934808,"medium"
"2015-P","777",782.261777914599,"Ebbett, Charles","Eganville","Ontario","Canada","Wallaceburg Kinsmen","1947.5 Clemente","2101 Meier",0,0,0,"Dill's Atlantic",16,352.017800061569,"light"
"2016-P","408",1136.5033444664,"Ansems, Gerard","Paradise","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic","1415 Ansems","1236 Ansems",0,0,0,"Wolf",16,511.426505009882,"medium"
"2018-P","665",954.979993779631,"Rand, Jackie","Windsor","Nova Scotia","Canada","AVGVG Glad Gardens","1540 Tobeck","2020.5 Werner",359.212266272169,876.496974778799,6.07214768262923,"Connecticut Field",16,429.740997200834,"light"
"2018-P","EXH",1302.35079004535,"Kurceba, Sharon","ENNISMORE","Ontario","Canada","Thunder Bay District Giant Pumpkin Growers","767 Spivak","1503.5 Connolly",398.476346931635,1376.45840534494,0,"Dill's Atlantic",16,586.057855520408,"medium"
"2019-P","EXH",1089.86294668126,"Topini, Giuseppe","Valiano di Montepulciano","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,335.149145559796,804.118761908523,35.7906505454753,"Wolf",16,490.438326006565,"medium"
"2014-P","1006",610.616008179324,"Le, PotiHeon","Maryhill","Ontario","Canada","Prince Edward County Pumpkinfest","513.5 Vincent","Open",300.15841414485,668.679045215824,0,"Howden",16,274.777203680696,"light"
"2015-P","1269",452.049393822662,"Thomas, Darlene","Godfrey","Ontario","Canada","Bracebridge Agriculture Society Fall Fair","591 Montgomery","1421.5 Jutras",265.938008341746,476.624661162026,0,"Wolf",16,203.422227220198,"light"
"2016-P","1656",19.8283514430667,"Utunomiya, Hiroyoshi","Tonosho","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Cinderella",16,8.92275814938002,"light"
"2015-P","1709",122.736818768652,"Yada, Tunehisa","Tohaku","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Early Giant",16,55.2315684458936,"light"
"2018-P","665",917.869729436374,"Farrell, Travis","North Alton","Nova Scotia","Canada","AVGVG Glad Gardens","1540 Tobeck","2020.5 Werner",339.894255109874,857.011764167124,6.03849675924538,"Wolf",16,413.041378246368,"light"
"2021-P","EXH",331.485477458472,"Tessier, David","North Vancouver","British Columbia","Canada","BC Giant Pumpkin Weigh-off","1134.5 Rea","Self",233.007087427062,310.317705586025,8.8429289285528,"Atlantic Giant",16,149.168464856312,"light"
"2018-P","346",1301.0992936273,"Terwin, Marlene","St. Thomas","Ontario","Canada","Port Elgin Pumpkinfest (Sunday)","HoogMos 1239","sibling",391.279905889697,1294.80206787142,1.0568042256679,"Atlantic Giant",16,585.494682132285,"medium"
"2018-P","320",1192.92467307262,"Boschi, Valerio","Radda in Chianti","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,350.737774297683,926.463700177198,25.1844238709191,"Dill's Atlantic",16,536.816102882679,"medium"
"2014-P","1138",475.553820412982,"Makarchuk, Alex&Andrew","Stony Plain","Alberta","Canada","Great White North Pumpkin Weigh-off and Fair",NA,NA,0,0,0,"Jack O'Lantern",16,213.999219185842,"light"
"2017-P","592",950.40103196174,"Winkler, Chloe","Port Elgin","Ontario","Canada","Wallaceburg Kinsmen",NA,NA,339.086751071625,946.916979472518,4.03068664230556,"Howden",16,427.680464382783,"light"
"2015-P","307",1247.46067592193,"Morin, Mario","New Minas","Nova Scotia","Canada","Joe King Memorial Giant Pumpkin Weigh-off",NA,NA,0,0,0,"Blue Hubbard",16,561.357304164867,"medium"
"2018-P","774",795.051800873109,"La patch a Omer","Eganville","Ontario","Canada","Erin Fall Fair Giant Pumpkin Weigh-off","1718 Kline","1278 Crews",298.588731351362,636.961299906878,25.0819494678221,"Champion",16,357.773310392899,"light"
"2019-P","1693",52.711622615988,"Banman, Henry","Edmundston","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,132.251505611903,57.9668336553713,0,"Connecticut Field",16,23.7202301771946,"light"
"2017-P","452",1132.73093319982,"Tessier, David","Florence","Ontario","Canada","Port Elgin Pumpkinfest","940 McQuay","1803.5 Hodle",354.67796318872,960.032955329396,8.71158343582931,"Rouge Vif d’Etampes",16,509.72891993992,"medium"
"2014-P","1602",150.081102526217,"Bernard, Joe","TABER","Alberta","Canada","Great White North Pumpkin Weigh-off and Fair",NA,NA,0,0,0,"Jack O'Lantern",16,67.5364961367977,"light"
"2013-P","1374",175.999022026741,"Carley, Scott","Edmundston","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,175.48546826749,142.780833305067,20.691754665311,"Cinderella",16,79.1995599120335,"light"
"2017-P","834",634.622789213272,"Banman, Marge","Ormstown","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Atlantic Giant",16,285.580255145973,"light"
"2020-P","372",1146.82540543141,"Terwin, Jason","Port Elgin","Ontario","Canada","Prince Edward County Pumpkinfest",NA,NA,356.283787541533,1170.40751516136,0,"Rouge Vif d’Etampes",16,516.071432444135,"medium"
"2020-P","866",579.268830091667,"Foresta, Kayler","Guelph","Ontario","Canada","Prince Edward County Pumpkinfest",NA,NA,284.260324797316,537.223531404228,7.37068489768434,"Spirit",16,260.67097354125,"light"
"2015-P","1266",517.695656209764,"Yada, Izumi","Hokuto","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Autumn Gold",16,232.963045294394,"light"
"2016-P","1574",111.492649813657,"Lapointe, Yvonne","Morris","Manitoba","Canada","Roland Pumpkin Fair","Atlantic Giant","Atlantic Giant",158.060306848598,121.259547226185,0,"Connecticut Field",16,50.1716924161458,"light"
"2014-P","913",639.798169893545,"Lobay, John","New Minas","Nova Scotia","Canada","AVGVG Glad Gardens","1249 Ansems","Self",311.798238278907,696.913065354661,0,"Spirit",16,287.909176452095,"light"
"2019-P","624",868.581737251235,"Strange, Mike","Tilden Lake","Ontario","Canada","Port Elgin Pumpkinfest","unknown","open",0,0,0,"Blue Hubbard",16,390.861781763056,"light"
"2017-P","1092",472.14776690368,"Ansems, Shirley","Ormstown","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Wolf",16,212.466495106656,"light"
"2018-P","EXH",904.850639238138,"Liam, Aurelie","Picton","Ontario","Canada","Prince Edward County Pumpkinfest","748 Langridge","Open",341.494072242037,985.761164181966,0,"Casper",16,407.182787657162,"light"
"2017-P","514",1061.79238601133,"Topini, Giuseppe","Radda in Chianti","Tuscany","Italy","Campionato dello Zuccone","1333 Garofano","Open",348.207800306735,1046.35366791507,1.00454757742691,"Wolf",16,477.806573705097,"medium"
"2016-P","107",1850.17553990514,"Armelini, Augustino","Cameron","Ontario","Canada","Port Elgin Pumpkinfest","1353 Jarvis","1720 Werner",450.431150778409,1649.47297700908,5.94945767018811,"Prizewinner",16,832.578992957312,"heavy"
"2013-P","520",915.736810853445,"Sharlie, Daphnee","Pembroke","Ontario","Canada","Prince Edward County Pumpkinfest","1382 Bryson","1684 Delaney",355.328267922816,918.562977096768,0,"Early Giant",16,412.08156488405,"light"
"2016-P","780",850.950693810939,"Ansems, Fred","St. Croix","Nova Scotia","Canada","AVGVG Glad Gardens","1236 A. Ansems","1158 A.Ansems",0,0,0,"Big Moose",16,382.927812214923,"light"
"2020-P","619",827.46107383264,"Zecchini, Fernando","Radda in Chianti","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,320.850304651678,751.681502606193,6.78312525894968,"Autumn Gold",16,372.357483224688,"light"
"2018-P","1704",70.5532428316024,"Yochien, Tonosho","Marugame","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Casper",16,31.7489592742211,"light"
"2017-P","1372",264.108421474978,"Rodger, Colton","Tracadie","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,240.136046362343,NA,0,"Casper",16,118.84878966374,"light"
"2019-P","272",1254.85473505163,"Mereo, Egidio","Capua","Campania","Italy","Campionato dello Zuccone","2145.5 McMullen","1774.5 Carter",381.361655429814,1146.8390710638,7.98958484339597,"Blue Hubbard",16,564.684630773232,"medium"
"2014-P","930",689.524781173177,"Asta, Carmelo",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,330.967956722326,874.882874016413,0,"Prizewinner",16,310.28615152793,"light"
"2014-P","637",951.293301214383,"Lukes, Janice","Woodbridge","Ontario","Canada","Prince Edward County Pumpkinfest","1684.5 Delaney","Self",327.485574828628,850.751264764713,10.1517248649727,"Spirit",16,428.081985546472,"light"
"2014-P","1732",46.5091694670008,"Tanaka, Akihiko","Kasugai-shi","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Cinderella",16,20.9291262601503,"light"
"2018-P","1536",214.360254092704,"Skiva, Darren","Edmunstom","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.","1532 Mallet","self",206.999598529446,209.117423194499,1.00970921690911,"Atlantic Giant",16,96.4621143417169,"light"
"2015-P","1327",429.508533255052,"Nieuwenhoff, John","Stickney","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,249.688713657438,350.832768299008,22.0853382954147,"Rouge Vif d’Etampes",16,193.278839964773,"light"
"2017-P","1256",365.831862111948,"Northrup, Bill & Dawn","Dorval","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Jack O'Lantern",16,164.624337950377,"light"
"2017-P","310",1292.6315768966,"Neily, Will","Picton","Ontario","Canada","Erin Fall Fair Giant Pumpkin Weigh-off","1800.3 Hoelke","2261.5 Wallace",394.537965910979,1284.2240555248,0,"Wolf",16,581.684209603469,"medium"
"2014-P","1599",156.427556924283,"Biondi, Carlo",NA,"Other","Italy","Festa della zucca di sale",NA,NA,189.774296785286,171.629224683378,0,"Rouge Vif d’Etampes",16,70.3924006159274,"light"
"2019-P","668",838.286007061074,"Lyons, Chris","Steam Mill","Nova Scotia","Canada","AVGVG Glad Gardens","1197 Reid","2098 Lancaster",333.515303338683,895.463353645846,0,"Atlantic Giant",16,377.228703177484,"light"
"2013-P","331",1003.36345028926,"DeMars, Mike","Waterville","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic","1421 Boyce","self",0,0,0,"Jack O'Lantern",16,451.513552630168,"medium"
"2017-P","818",712.352330016494,"Uematsu, Nobuyuki","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Rouge Vif d’Etampes",16,320.558548507422,"light"
"2018-P","1347",369.068705121026,"Terwin, Marlene","Edmundston","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,258.051744528997,383.186892289274,0,"Big Moose",16,166.080917304462,"light"
"2018-P","622",972.95379237701,"Jal Val, Ma Cit",NA,"Quebec","Canada","Potirothon de Gentilly","1689 Tessier 17","self",357.068513145035,930.72628384915,0,"Wolf",16,437.829206569655,"light"
"2017-P","1169",397.125473488205,"Camparmo, Maurizio","Innismore","Ontario","Canada","Thunder Bay District Giant Pumpkin Growers",NA,NA,264.717954036441,449.762077173568,0,"Big Moose",16,178.706463069692,"light"
"2019-P","608",909.376599835309,"Boulianne, Yves","Cayuga","Ontario","Canada","Bracebridge Agriculture Society Fall Fair","1911 Urena","1810 Werner",0,0,0,"Connecticut Field",16,409.219469925889,"light"
"2020-P","EXH",159.375946246003,"Felappi, Lorenzo","Poggiridenti","Lombardy","Italy","Sfida degli Zucconi della Brianza",NA,NA,186.583423171806,161.995153931823,4.97144376591664,"Big Moose",16,71.7191758107012,"light"
"2019-P","603",948.620273271798,"Ricci, Giulio","Sirtori","Lombardy","Italy","Pesa la Zucca! Foiano",NA,NA,343.00313162222,844.133335293459,9.74452746672741,"Champion",16,426.879122972309,"light"
"2015-P","1754",83.9899989730176,"Tada, Tamon","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Atlantic Giant",16,37.7954995378579,"light"
"2017-P","596",900.552503953669,"Langridge, Annette","North Alton","Nova Scotia","Canada","AVGVG Glad Gardens","1512.4 Butler","Self",359.791163444624,1017.04374168187,0,"Casper",16,405.248626779151,"light"
"2020-P","540",881.642444678601,"Lyons, Chris","Simcoe","Ontario","Canada","Port Elgin Pumpkinfest","1458 Kline","1483 Butler",307.239354993525,702.396203903838,20.9977765104464,"Jack O'Lantern",16,396.73910010537,"light"
"2019-P","87",1576.71779731328,"Hoelke, Ryan","Gentilly","Quebec","Canada","Port Elgin Pumpkinfest","1911 Urena","Sib",403.728077514742,1524.16872492108,3.99369724001132,"Big Moose",16,709.523008790974,"heavy"
"2020-P","664",815.791780052092,"Fraser, Frank","Carman","Manitoba","Canada","Roland Pumpkin Fair","1155.5 Priess","Self",356.22761722864,981.393280168568,0,"Spirit",16,367.106301023441,"light"
"2014-P","1097",579.316625878975,"Ryan, DJ","Sheffield Mills","Nova Scotia","Canada","AVGVG Glad Gardens","527 Dill","1381 Kenneally",0,0,0,"Howden",16,260.692481645539,"light"
"2020-P","78",1786.4969468245,"Moretti, Sergio","Capriolo","Lombardy","Italy","Sfida degli Zucconi della Brianza","2416.5 Haist","2145 Mcmullen",430.931998767345,1665.62087754246,NA,"Big Max",16,803.923626071025,"heavy"
"2014-P","1554",206.622419488059,"Ansems, Catharina","Haut Shippagan","New Brunswick","Canada","Le Festival Provincial de la Citrouille geante de Neguac Inc.",NA,NA,210.863701931437,205.492659051621,0,"Jack O'Lantern",16,92.9800887696265,"light"
"2016-P","1656",19.2604343333941,"Higashikagawa Junior Chamber","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Casper",16,8.66719545002736,"light"
"2015-P","1241",523.320266491538,"Banman, Marge","Scarborough","Ontario","Canada","Port Elgin Pumpkinfest (Sunday)",NA,NA,0,0,0,"Big Moose",16,235.494119921192,"light"
"2016-P","609",1009.33932147036,"Hoelke, Ryan","Picton","Ontario","Canada","Port Elgin Pumpkinfest","1733 Kline","1733 Kline",0,0,0,"Prizewinner",16,454.202694661663,"medium"
"2013-P","DMG",689.321307967779,"Canadiens, Les","St-Francois-du-lac","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Big Moose",16,310.1945885855,"light"
"2014-P","1735",38.0994165142212,"Okuda, Takefumi","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Rouge Vif d’Etampes",16,17.1447374313995,"light"
"2016-P","1049",594.827261693433,"Kenneally, Brian","Pembroke","Ontario","Canada","Port Elgin Pumpkinfest (Sunday)",NA,NA,0,0,0,"Atlantic Giant",16,267.672267762045,"light"
"2017-P","1126",518.17390007697,"Terwin, Jason","St. Thomas","Ontario","Canada","Thunder Bay District Giant Pumpkin Growers","1013 Johnson","1512 Butler",268.577626996469,453.892409239043,1.01827395629296,"Big Max",16,233.178255034637,"light"
"2013-P","634",741.565532815521,"MacKenzie, Bob","Granville Ferry","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic","1727 Ansems","1616 Ansems",326.668429278023,663.10050517081,5.08716553522623,"Cinderella",16,333.704489766984,"light"
"2021-P","442",1021.90055976388,"MacDougall, Mike","Steam Mill","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic",NA,NA,0,0,0,"Prizewinner",16,459.855251893748,"medium"
"2014-P","1208",436.578963586788,"Gendron, Guy","Scarborough","Ontario","Canada","Erin Fall Fair Giant Pumpkin Weigh-off",NA,NA,NA,392.78318843275,9.23834571833758,"Jack O'Lantern",16,196.460533614055,"light"
"2015-P","1570",242.904247640362,"Ito, Masayuki","Tonosho","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Autumn Gold",16,109.306911438163,"light"
"2019-P","1030",534.173513573211,"Zinck, Callie","Edmonton","Alberta","Canada","Great White North Pumpkin Weigh-off and Fair",NA,NA,0,0,0,"Blue Hubbard",16,240.378081107945,"light"
"2019-P","236",1356.98967463251,"Oberbuchner, Ann","Judique","Nova Scotia","Canada","AVGVG Glad Gardens","2118 Jutas",NA,381.985144478497,1247.30971760975,4.00885502967223,"Champion",16,610.645353584629,"medium"
"2017-P","1577",51.4360073732206,"Grouphome, Ainosato","Shodoshima","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Autumn Gold",16,23.1462033179493,"light"
"2019-P","1559",152.145295012308,"Ito, Masayuki","Kuwana, Mie","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Big Max",16,68.4653827555384,"light"
"2013-P","512",955.418434243364,"Jarvis, Kristine","Roland","Manitoba","Canada","Roland Pumpkin Fair",NA,NA,348.718863248753,883.516313618264,6.05015357112875,"Blue Hubbard",16,429.938295409514,"light"
"2016-P","1037",663.899143756583,"Giffen, Ralph","Roland","Manitoba","Canada","Roland Pumpkin Fair","Banman 2014","Lukes 2015",306.520724136575,676.23391974601,0,"Cinderella",16,298.754614690462,"light"
"2018-P","DMG",1599.66685200086,"Salvagni, Augusto",NA,"Other","Italy","Festa della zucca di sale","2043 clement","sibb",413.196018787239,1456.81467799024,14.1040218118939,"Spirit",16,719.850083400385,"heavy"
"2015-P","886",789.119129843897,"Ansems, Frank","Gentilly","Quebec","Canada","Potirothon de Gentilly",NA,NA,0,0,0,"Casper",16,355.103608429754,"light"
"2014-P","847",779.819126629966,"Bouffard-Guillemette, Cindy","Stony Plain","Alberta","Canada","Great White North Pumpkin Weigh-off and Fair",NA,NA,0,0,0,"Connecticut Field",16,350.918606983485,"light"
"2015-P","1498",319.643896227303,"Banman, Henry","Clinton","Ontario","Canada","Woodbridge Fair GPC Weigh-off","1180 Daletas","1082 Curry",0,0,0,"Spirit",16,143.839753302286,"light"
"2020-P","619",730.452384423966,"Cutrupi, Stefano","Peccioli","Tuscany","Italy","Pesa la Zucca! Foiano",NA,NA,310.266549120396,715.815223779739,6.99138064423837,"Cinderella",16,328.703572990785,"light"
"2017-P","EXH",313.955761202363,"Reid, Jeff","London","Ontario","Canada","Erin Fall Fair Giant Pumpkin Weigh-off","Cleaview Acres 1071","Gansert 1044",235.697389262592,312.914097400929,2.0332143423709,"Casper",16,141.280092541063,"light"
"2017-P","1459",174.53452918951,"Froese, Cornie","Atmore","Alberta","Canada","Great White North Pumpkin Weigh-off and Fair",NA,NA,0,0,0,"Big Max",16,78.5405381352793,"light"
"2013-P","526",796.547750968038,"Quatrouilles, Les","Langley","British Columbia","Canada","BC Giant Pumpkin Weigh-off","unknown",NA,325.665304606129,939.14283742157,0,"Autumn Gold",16,358.446487935617,"light"
"2014-P","1726",53.8620871845754,"Ito, Shigenobu","Marugame","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Atlantic Giant",16,24.2379392330589,"light"
"2013-P","474",870.332912349226,"Ferraris, Giustino",NA,"Other","Italy","Campionato dello Zuccone","1278 Bartoli","Open",325.525090757588,910.844459090358,0,"Spirit",16,391.649810557152,"light"
"2019-P","1256",339.43647082949,"Pickrell, Perry","Becancour","Quebec","Canada","Potirothon de Gentilly",NA,NA,NA,0,0,"Casper",16,152.746411873271,"light"
"2020-P","417",1111.74401221688,"Terwin, Jason","Lac du Bonnet","Manitoba","Canada","Roland Pumpkin Fair","1959 Hunt","Jutras",357.968709908221,1147.91412641763,0,"Big Max",16,500.284805497598,"medium"
"2019-P","984",523.364204664998,"Ryan, DJ","Strathorne","Nova Scotia","Canada","AVGVG Glad Gardens","2145 McMullen","self",289.780679547225,552.086511909823,0,"Spirit",16,235.513892099249,"light"
"2020-P","1184",223.541106164701,"Fraser, Frank","MillVille","Nova Scotia","Canada","Joe King Memorial Giant Pumpkin Weigh-off",NA,NA,207.030148627101,256.90611873557,0,"Jack O'Lantern",16,100.593497774115,"light"
"2016-P","1586",112.751000699305,"Kikkoman Biochemifa Company","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Big Moose",16,50.7379503146874,"light"
"2021-P","465",1000.26855472707,"Twelves, Lexi","Mahone Bay","Nova Scotia","Canada","The Great Howard Dill Giant Pumpkin Classic","1573 Kline","Self",0,0,0,"Connecticut Field",16,450.120849627181,"medium"
"2019-P","EXH",902.637723588634,"Helder, Mitchell","Limehouse","Ontario","Canada","Thunder Bay District Giant Pumpkin Growers","1756 Johnson","967 Mclean",328.291735471001,982.308685554694,0,"Howden",16,406.186975614885,"light"
"2019-P","1485",196.020282320224,"Kuzunishi, Takamiti","Tonosho","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Rouge Vif d’Etampes",16,88.2091270441007,"light"
"2014-P","693",865.53700945485,"Deane, Dave","Waterville","Nova Scotia","Canada","AVGVG Glad Gardens","1813 Northrup","1727 Ansems",331.548206330892,NA,3.77827291287664,"Casper",16,389.491654254683,"light"
"2017-P","799",741.253293430737,"Hayashi, Kishio","Kuwana, Mie","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Early Giant",16,333.563982043832,"light"
"2019-P","1206",388.096672364386,"Zwicker, Brenda","Guelph","Ontario","Canada","Bracebridge Agriculture Society Fall Fair","1240 warner","615 Golden",0,0,0,"Prizewinner",16,174.643502563974,"light"
